rho:   eigenvalue
      10.340000, 	      5249.2288,
      10.367500, 	      5252.8742,
      10.395000, 	      5256.3585,
      10.422500, 	      5259.6812,
      10.450000, 	      5262.8421,
      10.477500, 	      5265.8410,
      10.505000, 	      5268.6773,
      10.532500, 	      5271.3509,
      10.560000, 	      5273.8611,
      10.587500, 	      5276.2076,
      10.615000, 	      5278.3897,
      10.642500, 	      5280.4066,
      10.670000, 	      5282.2572,
      10.697500, 	      5283.9399,
      10.725000, 	      5285.4524,
      10.752500, 	      5286.7909,
      10.780000, 	      5287.9487,
      10.807500, 	      5288.9108,
      10.835000, 	      5289.6091,
      10.862500, 	      5290.1838,
      10.890000, 	      5291.1048,
      10.917500, 	      5292.3891,
      10.945000, 	      5294.1897,
